"持仓合约","买卖","总仓","昨仓","今仓","开仓均价","浮动盈亏","浮盈比例","对价盈亏","实收保证金","资金占比","手工止损","手工止盈","止损手数","自动止损","自动止盈","持仓市值","虚实","持仓Delta","持仓Gamma","持仓Theta","持仓Vega","持仓Rho","$时间价值","到期日"
"zn2601","买　","1","0","1","23183.3","33.33","0.41%","-16.67","8055.25","0.05%","待设置","待设置","全部","-","-","115950","","-","-","-","-","-","-","-"
"a2601","　卖","2","2","0","4070.0","-100.00","-2.43%","-100.00","4117.00","0.03%","待设置","待设置","全部","-","-","81500","","-","-","-","-","-","-","-"
"AP605","买　","2","0","2","9200.0","-180.00","-0.89%","-200.00","20259.80","0.13%","待设置","待设置","全部","-","-","183820","","-","-","-","-","-","-","-"
"sc2601","　卖","3","3","0","438.13","-11600.00","-12.77%","-14000.00","90846.00","0.60%","待设置","待设置","全部","-","-","1326000","","-","-","-","-","-","-","-"
"pb2611","　卖","2","2","0","17130.0","-2800.00","-23.59%","-3700.00","11868.50","0.08%","待设置","待设置","全部","-","-","174100","","-","-","-","-","-","-","-"
"pg2601","　卖","4","4","0","4177.2","-3507.27","-21.39%","-3507.27","16400.00","0.11%","待设置","待设置","全部","-","-","337680","","-","-","-","-","-","-","-"
"eg2601","买　","2","0","2","3623.0","860.00","19.50%","820.00","4410.00","0.03%","待设置","待设置","全部","-","-","73320","","-","-","-","-","-","-","-"
"j2601","　卖","4","0","4","1592.93","-3430.00","-6.15%","-3630.00","55760.00","0.37%","待设置","待设置","全部","-","-","640600","","-","-","-","-","-","-","-"
"y2605","　卖","1","1","0","7760.0","-40.00","-1.03%","-60.00","3867.00","0.03%","待设置","待设置","全部","-","-","77640","","-","-","-","-","-","-","-"
"jm2605","　卖","1","1","0","1110.50","-1290.00","-24.33%","-1320.00","5301.60","0.03%","待设置","待设置","全部","-","-","67920","","-","-","-","-","-","-","-"
"p2605","　卖","7","4","3","8482.6","-380.00","-1.29%","-520.00","29568.00","0.19%","待设置","待设置","全部","-","-","594160","","-","-","-","-","-","-","-"
"sn2601","买　","4","4","0","342300.0","-6040.00","-4.89%","-6040.00","123429.60","0.81%","待设置","待设置","全部","-","-","1363160","","-","-","-","-","-","-","-"
"al2602","买　","5","5","0","22135.0","4875.00","12.53%","4750.00","38920.00","0.26%","待设置","待设置","全部","-","-","558250","","-","-","-","-","-","-","-"
"au2602","买　","1","1","0","1015.940","-1260.00","-2.55%","-1380.00","49366.00","0.32%","待设置","待设置","全部","-","-","1014680","","-","-","-","-","-","-","-"
"ag2602","　卖","5","0","5","17444.1","-12370.00","-16.88%","-12070.00","73291.50","0.48%","待设置","待设置","全部","-","-","1320675","","-","-","-","-","-","-","-"
"cu2601","买　","2","2","0","93550.0","23100.00","27.33%","23100.00","84528.00","0.55%","待设置","待设置","全部","-","-","958600","","-","-","-","-","-","-","-"
"i2605","买　","14","10","4","774.93","6399.08","7.35%","5699.08","87080.00","0.57%","待设置","待设置","全部","-","-","1091300","","-","-","-","-","-","-","-"
"ru2605","　卖","4","4","0","15326.2","-12950.46","-23.54%","-12750.46","55008.00","0.36%","待设置","待设置","全部","-","-","626000","","-","-","-","-","-","-","-"
"合计18条","","64","43","21","","-20680.31","-2.71%","","762076.25","","","","","","","10605355","","0.000","0.000","0.000","0.000","0.000","0.000",""
